"condition","correct","response_time","stimulus_category","target"
"4","1","845","1A","Drew"
"4","1","776","1A","Luke"
"4","1","777","1B","Navid"
"4","0","648","1B","Idris"
"4","1","778","1A","Dean"
"4","1","987","1B","Hanif"
"4","1","1906","1B","Kasim"
"4","1","1159","1A","Josh"
"4","1","774","1B","Mohammed"
"4","1","1325","1A","Joseph "
"4","1","1203","1A","Matthew"
"4","1","716","1A","Gary"
"4","1","474","1A","Adam"
"4","1","537","1B","Faizan"
"4","1","476","1B","Hamza"
"4","1","606","1B","Abdi"
"4","1","493","1B","Omar "
"4","1","575","1B","Ismail"
"4","1","613","1A","James"
"4","1","876","1A","Daniel "
"2","1","1672","2A","Caring"
"2","1","558","2A","Peaceful"
"2","1","542","2A","Happy"
"2","1","797","2A","Supportive"
"2","0","497","2B","Criminal "
"2","1","756","2B","Thief"
"2","1","632","2A","Helpful"
"2","1","751","2B","Unhappy"
"2","1","718","2B","Horrible "
"2","1","577","2A","Nice "
"2","1","603","2A","Generous"
"2","1","539","2B","Nasty"
"2","1","758","2B","Selfish"
"2","0","623","2B","Careless"
"2","1","812","2B","Sad"
"2","1","580","2A","Good"
"2","1","771","2A","Kind"
"2","1","641","2B","Evil"
"2","1","696","2B","Bad"
"2","1","757","2A","Friendly "
"5","1","2051","1A","James"
"5","1","2027","2B","Selfish"
"5","1","1090","1A","Josh"
"5","0","940","2A","Kind"
"5","1","651","1B","Mohammed"
"5","1","909","2A","Caring"
"5","1","605","1B","Hamza"
"5","1","511","2A","Good"
"5","1","492","1B","Faizan"
"5","1","576","2B","Evil"
"5","1","643","1A","Luke"
"5","1","561","2B","Thief"
"5","1","572","1B","Abdi"
"5","1","643","2A","Friendly "
"5","1","643","1B","Idris"
"5","0","924","2A","Happy"
"5","1","1578","1A","Adam"
"5","0","934","2B","Horrible "
"5","1","1766","1B","Navid"
"5","1","1707","2B","Nasty"
"5","1","687","1B","Ismail"
"5","1","646","2B","Criminal "
"5","1","1227","1B","Hanif"
"5","1","1414","2B","Careless"
"5","0","521","1A","Matthew"
"5","1","802","2B","Sad"
"5","1","710","1A","Gary"
"5","1","1018","2A","Supportive"
"5","1","906","1A","Drew"
"5","1","864","2B","Bad"
"5","1","1178","1B","Omar "
"5","0","714","2B","Unhappy"
"5","1","1167","1A","Daniel "
"5","0","735","2A","Peaceful"
"5","1","985","1A","Joseph "
"5","1","1212","2A","Nice "
"5","1","1333","1A","Dean"
"5","1","2544","2A","Helpful"
"5","1","549","1B","Kasim"
"5","1","877","2A","Generous"
"1","0","1520","1A","Joseph "
"1","1","951","1B","Mohammed"
"1","1","638","1A","Adam"
"1","1","861","1B","Idris"
"1","1","897","1A","Matthew"
"1","1","916","1B","Hamza"
"1","1","728","1A","Daniel "
"1","1","768","1A","Josh"
"1","1","764","1A","Drew"
"1","0","486","1B","Kasim"
"1","1","558","1B","Ismail"
"1","1","452","1B","Hanif"
"1","1","677","1A","Gary"
"1","1","539","1B","Navid"
"1","1","1162","1B","Omar "
"1","1","684","1A","James"
"1","1","637","1A","Luke"
"1","1","565","1B","Abdi"
"1","0","1740","1B","Faizan"
"1","1","605","1A","Dean"
"3","1","1425","1A","James"
"3","1","645","2A","Supportive"
"3","1","696","1B","Mohammed"
"3","1","823","2B","Evil"
"3","1","602","1B","Ismail"
"3","1","589","2A","Peaceful"
"3","0","512","1A","Josh"
"3","1","1435","2A","Friendly "
"3","1","664","1B","Hamza"
"3","1","830","2B","Horrible "
"3","1","758","1A","Adam"
"3","0","732","2A","Caring"
"3","1","4305","1A","Matthew"
"3","1","3970","2B","Careless"
"3","0","1287","1B","Navid"
"3","1","725","2A","Nice "
"3","1","720","1A","Luke"
"3","1","582","2A","Good"
"3","1","598","1B","Idris"
"3","1","559","2B","Unhappy"
"3","1","607","1B","Faizan"
"3","1","600","2B","Sad"
"3","1","554","1B","Kasim"
"3","1","559","2B","Nasty"
"3","1","573","1B","Abdi"
"3","1","570","2B","Bad"
"3","1","537","1B","Omar "
"3","1","517","2A","Happy"
"3","0","533","1A","Dean"
"3","1","790","2B","Selfish"
"3","1","528","1A","Gary"
"3","1","740","2B","Criminal "
"3","1","594","1A","Daniel "
"3","1","773","2A","Generous"
"3","0","461","1B","Hanif"
"3","1","708","2A","Helpful"
"3","1","831","1A","Drew"
"3","1","782","2B","Thief"
"3","1","594","1A","Joseph "
"3","1","738","2A","Kind"
